,Index,File Name,Snippet
0,14418,hathi_test,"yielding to iodide of potassium and the use of the gargarisma aeru- ginis . One of these cases was much reduced , being ex- tremely emaciated , decidedly phthisical , covered by dark coppery eruptions , and at first was threatened with suffoca- tion from ulceration of the fauces and"
1,62921,hathi_test,"the 10th of December , 1866 . The tumour refilled very rapidly . On admission she was in a very low state , being greatly emaciated and anaemic ; ankles opdematous ; pulse small and thready—120 to 140 ; great dyspnoea , caused by the pressure of the tumour on"
2,150586,hathi_test,"mical conversion and the abnormal heat are not in accord . Still , it is really , I believe , the fact , that in emaciated people the febrile temperature is often not so high as in the vigorous and well-fed . Then , again , there occur cases of"
3,216071,hathi_test,"his right side . He said he had been ill for about four months with intermittent fever , and at time of admission was greatly emaciated . There was considerable enlargement of the liver , pain on pressure , rigidity of the muscles of the chest and abdomen on the"
4,216631,hathi_test,"The body was greatly < page 139 > 570 THE LANCET , ) MR. BERKELEY HILL ON VENEREAL DISEASES . [ APRIL 29 , 1871. emaciated ; but , except the liver , all the organs were per- fectly healthy . Remarks.—The most interesting features in this case are—first ,"
5,255141,hathi_test,"kindly manner and “ imposing appearance. ” Lately , since an attack of pneumonia in 1864 , he had lost his portliness , and became emaciated in a high degree , so that he appeared a different man from that re- presented in photographs of two or three years ago"
6,290497,hathi_test,"feeling in the chest and abdomen ; then loss of power in lower extremities , and partial deafness . On admission , her legs were emaciated , and she was only able to stand im- perfectly . She could use her hands but little . There was some tenderness ,"
7,322410,hathi_test,"and caused some slight annoyance to the practitioner that originally attended . Ellen – , aged sixteen , a girl of delicate frame , somewhat emaciated , suffered from typhoid fever eight months before . Had sloughing to a con . siderable extent over sacrum and left trochanter , which"
8,345831,hathi_test,"however , had died of consumption within a few months , and he had gonorrhoea , but no syphi- lis . The child was now emaciated ; it had a copper-coloured eruption upon the nates , sores upon the angle of the mouth , and a scaly eruption upon the"
9,394332,hathi_test,"condition.—She is confined to bed , except occa- sionally rising for a short time . She complains of being excessively weak , and is much emaciated . This is not so visible in the face as in other parts of the body . Her pre- sent appearance , as compared"
