,Unnamed: 0,id,title,year,language,authors,Index,Snippet,fasting girl snippet
32,32,mdp.39015010149238,The lancet,1870,eng,,521,"Tun WELSH FASTING Gian-The public are not likely soon to hear the last of the story of the unfortunate Sarah Jacob , the “ Welsh fasting girl. ” There has all along been a very prevalent opinion that the evidence taken before the Coroner was very incomplete , and general",1
36,36,mdp.39015010149238,The lancet,1870,eng,,1202,"resolution . THE WELSH FASTING GIRL . THE details of the evidence given at the Coroner ’ s inquest in the case of the Welsh fasting girl , which reached . us after we had gone to press last week , have not shed any fresh light on the subject",1
39,39,mdp.39015010149238,The lancet,1870,eng,,521,"Tun WELSH FASTING Gian-The public are not likely soon to hear the last of the story of the unfortunate Sarah Jacob , the “ Welsh fasting girl. ” There has all along been a very prevalent opinion that the evidence taken before the Coroner was very incomplete , and general",1
43,43,mdp.39015010149238,The lancet,1870,eng,,1202,"resolution . THE WELSH FASTING GIRL . THE details of the evidence given at the Coroner ’ s inquest in the case of the Welsh fasting girl , which reached . us after we had gone to press last week , have not shed any fresh light on the subject",1
90,90,chi.73806901,The lancet,1888,eng,,1496,"such milk may and rational treatment in the case of Sarah Jacobs , the Welsh have died from general or localised tuberculosis , the part fasting girl , in 1869 , and so prevent a miserable fiasco . probably played by this fluid in its production has not been Surely",1
95,95,chi.73806901,The lancet,1888,eng,,1496,"such milk may and rational treatment in the case of Sarah Jacobs , the Welsh have died from general or localised tuberculosis , the part fasting girl , in 1869 , and so prevent a miserable fiasco . probably played by this fluid in its production has not been Surely",1
120,120,uc1.d0000773044,The lancet,1882,eng,,897,"per- sons had availed themselves of the benefits of the insti- tution . DEATH OF A “ FASTING GIRL. ” — On Tuesday night the fasting girl , Christina Marshall , died at Strath- aven . She had been ill for eighteen months , and for over a year had",1
123,123,uc1.d0000773044,The lancet,1882,eng,,897,"per- sons had availed themselves of the benefits of the insti- tution . DEATH OF A “ FASTING GIRL. ” — On Tuesday night the fasting girl , Christina Marshall , died at Strath- aven . She had been ill for eighteen months , and for over a year had",1
216,216,iau.31858021446632,The lancet,1882,eng,,892,"per- sons had availed themselves of the benefits of the insti- tution . DEATH OF A “ FASTING GIRL. ” — On Tuesday night the fasting girl , Christina Marshall , died at Strath- aven . She had been ill for eighteen months , and for over a year had",1
218,218,iau.31858021446632,The lancet,1882,eng,,892,"per- sons had availed themselves of the benefits of the insti- tution . DEATH OF A “ FASTING GIRL. ” — On Tuesday night the fasting girl , Christina Marshall , died at Strath- aven . She had been ill for eighteen months , and for over a year had",1
