id,title,year,language,authors
hvd.32044103079455,The lancet,1898,eng,
iau.31858021447473,The lancet,1903,eng,
hvd.32044103078366,The lancet,1840,eng,
uiug.30112037944912,The lancet,1910,eng,
hvd.32044103078242,The lancet,1844,eng,
hvd.32044103079695,The lancet,1872,eng,
iau.31858021446020,The lancet,1866,eng,
iau.31858021447218,The lancet,1897,eng,
iau.31858021446129,The lancet,1868,eng,
iau.31858051554859,The lancet,1902,eng,
iau.31858021447457,The lancet,1903,eng,
uc1.d0000772863,The lancet,1873,eng,
hvd.32044103078226,The lancet,1844,eng,
hvd.32044103079679,The lancet,1875,eng,
iau.31858021447697,The lancet,1909,eng,
iau.31858021446004,The lancet,1865,eng,
uc1.$b31726,"Food and its adulterations; comprising the reports of the Analytical sanitary commission of ""The Lancet"" for the years 1851 to 1854 inclusive, revised and extended: being records of the results of some thousands of original microscopical and chemical analyses of the solids and fluids consumed by all classes of the public ... By Arthur Hill Hassall ... Illustrated by one hundred and fifty-nine engravings ...",1855,eng,"Hassall, Arthur Hill 1817-1894; Lancet, London Analytical sanitary commission"
mdp.39015075801012,The lancet,1884,eng,
uc1.31158001804888,The lancet,1906,eng,
uc1.31158001804896,The lancet,1906,eng,
mdp.39015075800048,The lancet,1869,eng,
mdp.39015075801137,The lancet,1891,eng,
iau.31858021446012,The lancet,1865,eng,
hvd.32044103079687,The lancet,1873,eng,
umn.31951000255155f,The lancet,1910,eng,
hvd.32044103078234,The lancet,1844,eng,
hvd.32044103079562,The lancet,1886,eng,
iau.31858021446251,The lancet,1872,eng,
uiug.30112041503936,The lancet,1902,eng,
hvd.32044103079505,The lancet,1886,eng,
hvd.32044103079745,The lancet,1877,eng,
uc1.31158001805034,The lancet,1910,eng,
iau.31858021446087,The lancet,1867,eng,
hvd.32044103079752,The lancet,1874,eng,
iau.31858021447176,The lancet,1896,eng,
mdp.39015075798044,The lancet,1851,eng,
hvd.32044103079737,The lancet,1876,eng,
uiug.30112114890509,The lancet,1899,eng,
hvd.32044103079612,The lancet,1884,eng,
uc1.d0000773093,The lancet,1884,eng,
uiug.30112108323467,The lancet,1872,eng,
iau.31858021447168,The lancet,1896,eng,
mdp.39015075798051,The lancet,1852,eng,
iau.31858021447044,The lancet,1893,eng,
hvd.32044103079620,The lancet,1883,eng,
uiug.30112040443233,The lancet,1900,eng,
uiug.30112114890517,The lancet,1900,eng,
uc1.d0000773069,The lancet,1883,eng,
chi.73807033,The lancet,1899,eng,
hvd.32044103078317,The lancet,1847,eng,
hvd.32044103079406,The lancet,1891,eng,
hvd.32044103079646,The lancet,1872,eng,
mdp.39015045551366,The lancet,1884,eng,
iau.31858021447390,The lancet,1901,eng,
hvd.32044103078200,The lancet,1848,eng,
iau.31858021446186,The lancet,1870,eng,
hvd.32044103079653,The lancet,1873,eng,
uiug.30112114890632,The lancet,1906,eng,
mdp.39015075797293,The lancet,1893,eng,
hvd.32044103078309,The lancet,1847,eng,
mdp.39015037514869,The lancet,1883,eng,
hvd.32044103079638,The lancet,1884,eng,
uiug.30112114890525,The lancet,1900,eng,
uiug.30112041503944,The lancet,1902,eng,
hvd.32044103079513,The lancet,1886,eng,
iau.31858021447499,The lancet,1904,eng,
uc1.31158001805018,The lancet,1909,eng,
uc1.d0000773077,The lancet,1883,eng,
iau.31858021446178,The lancet,1870,eng,
uiug.30112114890640,The lancet,1906,eng,
hvd.32044103079521,The lancet,1886,eng,
hvd.32044103079760,The lancet,1867,eng,
iau.31858021446293,The lancet,1873,eng,
hvd.32044103077889,The lancet,1857,eng,
hvd.32044103079828,The lancet,1869,eng,
mdp.39015075801061,The lancet,1893,eng,
iau.31858021442995,The lancet,1844,eng,
mdp.39015009547244,The lancet,1838,eng,
uiug.30112064494419,The lancet,1903,eng,
mdp.39015075800097,The lancet,1860,eng,
iau.31858021447093,The lancet,1894,eng,
uiug.30112114890533,The lancet,1901,eng,
uiug.30112040442334,The lancet,1900,eng,
uiug.30112114890426,The lancet,1897,eng,
hvd.32044103077996,The lancet,1857,eng,
uc1.d0000772921,The lancet,1876,eng,
hvd.32044103079810,The lancet,1870,eng,
mdp.39015075801079,The lancet,1896,eng,
uc1.31158001805000,The lancet,1909,eng,
uiug.30112114890541,The lancet,1901,eng,
uc1.d0000772913,The lancet,1875,eng,
iau.31858021447085,The lancet,1894,eng,
uiug.30112114890319,The lancet,1890,eng,
hvd.32044103079729,The lancet,1876,eng,
uiug.30112114890558,The lancet,1901,eng,
hvd.32044103079604,The lancet,1878,eng,
hvd.32044103079844,The lancet,1868,eng,
mdp.39015075801087,The lancet,1896,eng,
iau.31858021447192,The lancet,1896,eng,
hvd.32044103079851,The lancet,1868,eng,
uiug.30112114890434,The lancet,1897,eng,
hvd.32044103079836,The lancet,1869,eng,
hvd.32044103077897,The lancet,1856,eng,
mdp.39015075801095,The lancet,1895,eng,
uiug.30112114890681,The lancet,1908,eng,
uiug.30112114890442,The lancet,1897,eng,
uiug.30112114890566,The lancet,1904,eng,
iau.31858021446095,The lancet,1868,eng,
