"id","title","year","language","authors"
"uc1.d0000773002","The lancet","1880","eng",""
"mdp.39015075798200","The lancet","1853","eng",""
"mdp.39015075799893","The lancet","1870","eng",""
"hvd.32044103077962","The lancet","1853","eng",""
"uc1.d0000773127","The lancet","1886","eng",""
"iau.31858021446913","The lancet","1889","eng",""
"hvd.32044103077970","The lancet","1854","eng",""
"mdp.39015075797350","The lancet","1902","eng",""
"hvd.32044103077954","The lancet","1853","eng",""
"mdp.39015075797368","The lancet","1897","eng",""
"uc1.31158001804904","The lancet","1907","eng",""
"mdp.39015075798218","The lancet","1854","eng",""
"uc1.d0000773101","The lancet","1885","eng",""
"hvd.32044103077988","The lancet","1854","eng",""
"mdp.39015075799992","The lancet","1880","eng",""
"hvd.32044103079802","The lancet","1870","eng",""
"mdp.39015010149238","The lancet","1870","eng",""
"mdp.39015075797343","The lancet","1902","eng",""
"uc1.d0000773119","The lancet","1885","eng",""
"mdp.39015046944099","The lancet","1894","eng",""
"uiuo.ark:/13960/t3129j667","The lancet","1910","eng",""
"uiug.30112069292008","The lancet","1909","eng",""
"chi.73806901","The lancet","1888","eng",""
"iau.31858021443324","The lancet","1860","eng",""
"mdp.39015075797277","The lancet","1887","eng",""
"mdp.39015075798366","The lancet","1855","eng",""
"iau.31858021446830","The lancet","1887","eng",""
"hvd.32044103077921","The lancet","1855","eng",""
"uiug.30112003938526","The lancet","1889","eng",""
"mdp.39015031254785","The lancet","1896","eng",""
"iau.31858021446715","The lancet","1884","eng",""
"uc1.d0000773044","The lancet","1882","eng",""
"mdp.39015075797392","The lancet","1897","eng",""
"hvd.32044103077913","The lancet","1855","eng",""
"iau.31858021445972","The lancet","1864","eng",""
"uiug.30112114890707","The lancet","1908","eng",""
"mdp.39015070979276","The lancet","1844","eng",""
"osu.32435016233272","Lyre and lancet : a story in scenes / by F. Anstey [i.e. T. A. Guthrie]","1906","eng","Anstey, F. 1856-1934"
"uc1.d0000773051","The lancet","1882","eng",""
"iau.31858021446707","The lancet","1884","eng",""
"iau.31858021443316","The lancet","1859","eng",""
"mdp.39015020595354","The lancet","1886","eng",""
"iau.31858021445980","The lancet","1864","eng",""
"mdp.39015075797285","The lancet","1889","eng",""
"mdp.39015075797376","The lancet","1899","eng",""
"uiug.30112114890715","The lancet","1909","eng",""
"hvd.32044103077947","The lancet","1852","eng",""
"iau.31858021445964","The lancet","1864","eng",""
"uc1.d0000773028","The lancet","1881","eng",""
"mdp.39015057794722","The lancet","1900","eng",""
"mdp.39015075798226","The lancet","1856","eng",""
"uiug.30112063806910","The lancet","1908","eng",""
"iau.31858021446939","The lancet","1890","eng",""
"iau.31858021443308","The lancet","1859","eng",""
"uc1.d0000773143","The lancet","1887","eng",""
"mdp.39015020595362","The lancet","1889","eng",""
"uiug.30112108323939","The lancet","1909","eng",""
"mdp.39015075797251","The lancet","1881","eng",""
"uc1.d0000773036","The lancet","1881","eng",""
"iau.31858021446921","The lancet","1890","eng",""
"uiug.30112114890723","The lancet","1909","eng",""
"uiug.30112114890608","The lancet","1905","eng",""
"uc1.d0000773150","The lancet","1887","eng",""
"iau.31858021446806","The lancet","1887","eng",""
"hvd.32044103077939","The lancet","1852","eng",""
"mdp.39015075797384","The lancet","1899","eng",""
"iau.31858021443126","The lancet","1850","eng",""
"iau.31858021443001","The lancet","1844","eng",""
"iau.31858021446632","The lancet","1882","eng",""
"iau.31858021446996","The lancet","1891","eng",""
"iau.31858021447721","The lancet","1910","eng",""
"mdp.39015075796303","The lancet","1840","eng",""
"iau.31858021443365","The lancet","1862","eng",""
"uc1.31158001804979","The lancet","1908","eng",""
"chi.73806843","The lancet","1881","eng",""
"iau.31858021446517","The lancet","1879","eng",""
"uc1.31158001804854","The lancet","1905","eng",""
"iau.31858021447606","The lancet","1907","eng",""
"uc1.31158001804862","The lancet","1905","eng",""
"mdp.39015075800212","The lancet","1865","eng",""
"iau.31858021443373","The lancet","1862","eng",""
"iau.31858021443357","The lancet","1861","eng",""
"iau.31858021447713","The lancet","1909","eng",""
"iau.31858021446624","The lancet","1882","eng",""
"mdp.39015075797400","The lancet","1882","eng",""
"iau.31858021443233","The lancet","1855","eng",""
"uc1.31158001804748","The lancet","1901","eng",""
"uc1.31158001804987","The lancet","1909","eng",""
"iau.31858021446509","The lancet","1878","eng",""
"iau.31858021443118","The lancet","1849","eng",""
"uc2.ark:/13960/t48p61099","Lyre and lancet : a story in scenes / by F. Anstey, author of ""Vice versa?,"" ""The giant's robe,"" ""Voces populi,"" etc.","1895","eng","Anstey, F. 1856-1934"
"uc1.31158001804995","The lancet","1909","eng",""
"hvd.32044103078093","The lancet","1860","eng",""
"mdp.39015037517466","The lancet","1857","eng",""
"mdp.39015075800105","The lancet","1857","eng",""
"iau.31858021446871","The lancet","1888","eng",""
"iau.31858021446855","The lancet","1888","eng",""
"uiug.30112037609697","The lancet","1899","eng",""
"uc1.d0000772897","The lancet","1874","eng",""
"uc1.31158001804839","The lancet","1905","eng",""
"hvd.32044103077905","The lancet","1856","eng",""
"mdp.39015075799919","The lancet","1866","eng",""
"iau.31858021446616","The lancet","1881","eng",""
"uc1.31158001804961","The lancet","1908","eng",""
"mdp.39015005989523","The lancet","1848","eng",""
"iau.31858021445998","The lancet","1864","eng",""
"iau.31858021446723","The lancet","1885","eng",""
"iau.31858021443332","The lancet","1860","eng",""
"uc1.31158001804847","The lancet","1905","eng",""
"iau.31858021446848","The lancet","1888","eng",""
"uc1.d0000772780","The lancet","1869","eng",""
"mdp.39015075799927","The lancet","1864","eng",""
"uc1.31158001804722","The lancet","1901","eng",""
"uc1.31158001804730","The lancet","1901","eng",""
"mdp.39015028216441","The life and times of Thomas Wakley, founder and first editor of the ""Lancet"" ...  By S. Squire Sprigge ... With two portraits.","1897","eng","Sprigge, Samuel Squire Sir 1860-1937"
"uiuo.ark:/13960/t80k2qr43","Metropolitan provident dispensaries : letters from Mr. Timothy Holmes and Sir Charles Trevelyan to the editors of the 'Lancet' and 'British Medical Journal,' and correspondence in 'the Times,' 1880-1. Talbot collection of British pamphlets","1881","eng","Holmes, Timothy 1825-1907; Trevelyan, Charles E. (Charles Edward) 1807-1886; Metropolitan Provident Medical Association"
"mdp.39015075800006","The lancet","1880","eng",""
"iau.31858021446970","The lancet","1891","eng",""
"iau.31858021443340","The lancet","1861","eng",""
"iau.31858021447648","The lancet","1908","eng",""
"mdp.39015075799851","The lancet","1879","eng",""
"iau.31858021446434","The lancet","1877","eng",""
"iau.31858021447523","The lancet","1905","eng",""
"mdp.39015075799976","The lancet","1858","eng",""
"iau.31858021446798","The lancet","1886","eng",""
"iau.31858021443167","The lancet","1852","eng",""
"iau.31858021447408","The lancet","1902","eng",""
"hvd.32044103078184","The lancet","1861","eng",""
"iau.31858021447531","The lancet","1905","eng",""
"iau.31858021446442","The lancet","1877","eng",""
"hvd.32044103078069","The lancet","1875","eng",""
"iau.31858021443290","The lancet","1858","eng",""
"hvd.32044103079398","The lancet","1891","eng",""
"mdp.39015045560409","The lancet","1898","eng",""
"iau.31858021443050","The lancet","1846","eng",""
"mdp.39015075799984","The lancet","1873","eng",""
"iau.31858021447515","The lancet","1904","eng",""
"iau.31858021446426","The lancet","1876","eng",""
"iau.31858021446665","The lancet","1883","eng",""
"iau.31858021447754","The lancet","1910","eng",""
"mdp.39015021239135","The influence of railway travelling on public health. From ""The Lancet.""","1862","eng","Lancet, London"
"uc1.31158001804946","The lancet","1908","eng",""
"hvd.32044103078051","The lancet","1874","eng",""
"hvd.32044103078291","The lancet","1847","eng",""
"hvd.32044103079380","The lancet","1906","eng",""
"iau.31858021446673","The lancet","1883","eng",""
"iau.31858021443282","The lancet","1858","eng",""
"hvd.32044103078176","The lancet","1866","eng",""
"mdp.39015004442326","The lancet","1887","eng",""
"mdp.39015075796592","The lancet","1839","eng",""
"nyp.33433082396767","The life and times of Thomas Wakley, founder and first editor of the ""Lancet"" ...  By S. Squire Sprigge ... With two portraits.","1897","eng","Sprigge, Samuel Squire Sir 1860-1937"
"iau.31858021443027","The lancet","1845","eng",""
"iau.31858021446657","The lancet","1882","eng",""
"iau.31858021446897","The lancet","1889","eng",""
"mdp.39015075796444","The lancet","1839","eng",""
"iau.31858021443266","The lancet","1857","eng",""
"uc1.31158001804912","The lancet","1907","eng",""
"mdp.39015075799836","The lancet","1859","eng",""
"hvd.32044103078085","The lancet","1860","eng",""
"iau.31858021447630","The lancet","1907","eng",""
"uiug.30112054686339","The lancet","1897","eng",""
"iau.31858021443274","The lancet","1857","eng",""
